pays,continent,pib(milliards),nbr habitants(millions)
australie,oceanie,1328,"25,65"
New zeland,oceanie,212,"5,09"
kiribati,oceanie,"0,231","0,126"
polynaisie fr,oceanie,"5,793","0,279"
guinée,oceanie,"14,09","13,37"
arabie saoudite,asie,"734,3","31,55"
chine,asie,14690,"1412,12"
japon,asie,5056,"126,3"
inde,asie,2675,"1399,18"
russie,asie,1493,"144,1"
Algérie,Afrique,"164,9","44,04"
Congo,Afrique,"48,72","95,99"
Afrique de sud,Afrique,338,"60,56"
Madagascar,Afrique,"13,05","28,95"
Ethiopie,Afrique,"107,7","118,9"
France,Europe,"2302,9","67,6"
Norvège,Europe,"367,6","5,379"
Pologne,Europe,"605,9","37,9"
Portugal,Europe,"229,6","10,3"
Suisse,Europe,742,"8,638"
Etats-Unis,Amérique,21350,"331,5"
Colombie,Amérique,"270,3","50,63"
Brésil,Amérique,1476,"208,7"
Argentine,Amérique,"385,7","45,19"
Mexique,Amérique,1121,"126,8"
